caseid,weight_genpop,weight_oversample,applicant2_treat,party_treat,program_treat,turnout20post,PRES_2020_why_1,PRES_2020_why_2,PRES_2020_why_3,PRES_2020_why_4,PRES_2020_why_5,PRES_2020_why_6,PRES_2020_why_7,PRES_2020_why_8,PRES_2020_why_9,PRES_2020_why_10,PRES_2020_why_11,PRES_2020_why_12,PRES_2020_why_13,PRES_2020_why_14,PRES_2020_why_other,presvote20post,presvote20post_t,turnout16,PRES_2016_why_1,PRES_2016_why_2,PRES_2016_why_3,PRES_2016_why_4,PRES_2016_why_5,PRES_2016_why_6,PRES_2016_why_7,PRES_2016_why_8,PRES_2016_why_9,PRES_2016_why_10,PRES_2016_why_11,PRES_2016_why_12,PRES_2016_why_13,PRES_2016_why_14,PRES_2016_why_other,presvote16post,presvote16post_t,AID_app_1,AID_app_2,AID_app_3,AID_app_4,AID_app_5,AID_app_6,AID_app_7,AID_app_8,AID_app_9,AID_app_10,AID_app_11,AID_app_12,AID_app_13,AID_app_14,AID_app_15,AID_app_16,AID_app_17,AID_app_18,AID_benefits_1,AID_benefits_2,AID_benefits_3,AID_benefits_4,AID_benefits_5,AID_benefits_6,AID_benefits_7,AID_benefits_8,AID_benefits_9,AID_benefits_10,AID_benefits_11,AID_benefits_12,AID_benefits_13,AID_benefits_14,AID_benefits_15,AID_benefits_16,AID_benefits_17,AID_benefits_18,COVID,GEOID,GEOFREE,GOV1,PRD1,PRD2,PRD3,PRD4,PRD5,GOV2,SE1,SE2,SE3,SE4,FT_REP,FT_REP_dk_flag,FT_DEM,FT_DEM_dk_flag,FT_WELFARE,FT_WELFARE_dk_flag,FT_AID,FT_AID_dk_flag,FT_BLACK,FT_BLACK_dk_flag,FT_WHITES,FT_WHITES_dk_flag,FT_BUREAU,FT_BUREAU_dk_flag,FT_TRUMP,FT_TRUMP_dk_flag,FT_BIDEN,FT_BIDEN_dk_flag,APP_1_amt_1,APP_2_amt_1,STATE_amt_1,FT_PROG_1,FT_PROG_1_dk_flag,PARTICIPATE_PROG,VOTE_GOV,REELECT_GOV,birthyr,gender,race,educ,marstat,employ,faminc_new,household_size,lowinc,lowinc_borderline,child18,pid3,pid7,inputstate,inputzip,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1775446973,0.913639670860063,NA,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,"Open spaces, quietness, greenery",4,3,3,3,5,3,3,2,4,4,2,99,0,97,0,95,0,100,0,72,0,100,0,19,0,6,0,100,0,750,750,0,97,0,1,1,1,1955,2,1,3,4,2,3,4,1,NA,2,1,1,5,72687,4,1,2,1,12,4,2,1,2,2022-04-07T00:22:37Z,2022-04-07T00:31:14Z
1775447733,0.741314425030041,NA,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,I am able to get to anywhere I want to be quickly. Have more privacy then in a city.,2,6,1,1,5,6,2,2,3,2,2,47,0,47,0,70,0,70,0,98,0,99,0,2,0,2,0,65,0,750,750,0,NA,1,3,1,4,1969,2,1,6,1,1,11,4,2,NA,2,3,3,8,80126,3,1,3,2,11,6,2,4,6,2022-04-07T00:27:22Z,2022-04-07T00:37:04Z
1775447331,0.732703858778988,NA,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,It is outside of the city,2,4,3,3,5,4,3,2,2,2,1,59,0,72,0,19,0,16,0,68,0,85,0,38,0,8,0,77,0,265,518,717,85,0,4,3,3,1955,2,1,2,3,5,3,1,2,2,2,3,4,55,53095,3,1,2,3,2,5,2,2,6,2022-04-07T00:24:50Z,2022-04-07T00:37:21Z
1775447799,0.268883829155999,NA,6,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,4,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,6,__NA__,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,4,2,lives near a big city,5,6,2,2,6,6,4,2,6,2,2,48,0,19,0,26,0,54,0,50,0,51,0,22,0,2,0,62,0,681,442,377,36,0,3,3,3,1952,2,1,6,5,5,10,1,2,NA,2,3,4,36,14223,3,1,3,4,2,2,2,1,1,2022-04-07T00:27:47Z,2022-04-07T00:38:22Z
1775448023,1.0360434305601,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,Single family homes in subdivision,3,4,2,1,4,5,4,2,3,2,2,8,0,70,0,88,0,75,0,88,0,88,0,6,0,3,0,83,0,750,750,0,78,0,1,1,1,1967,2,1,5,1,1,12,5,2,NA,1,1,1,48,75060,3,1,2,1,1,4,2,2,1,2022-04-07T00:29:13Z,2022-04-07T00:39:28Z
1775447627,0.55238478111255,NA,6,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,3,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,Neighborhoods,3,5,3,3,5,5,3,2,2,2,2,11,0,60,0,NA,1,51,0,76,0,72,0,24,0,1,0,70,0,750,750,0,51,0,5,6,6,1961,2,1,5,6,5,97,2,3,NA,2,3,3,12,32210,3,1,2,1,10,6,2,4,7,2022-04-07T00:26:37Z,2022-04-07T00:39:33Z
1775447047,0.920353928580442,NA,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,3,1,"Less than 10,000 population in my town. Have to drive 30 minutes to get to bigger stores, entertainment venues.",1,4,3,4,5,4,4,3,3,3,3,18,0,61,0,64,0,67,0,79,0,47,0,33,0,2,0,56,0,750,750,0,93,0,1,1,2,1949,2,1,4,2,5,5,3,1,1,2,1,1,25,1364,4,1,1,2,12,6,2,4,7,2022-04-07T00:23:03Z,2022-04-07T00:41:29Z
1775448939,0.824760556295859,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,7,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Living outside the busy city,3,5,2,1,4,5,3,3,3,2,2,2,0,60,0,82,0,79,0,88,0,77,0,29,0,1,0,84,0,750,750,0,99,0,3,2,2,1965,2,1,5,4,5,11,7,2,NA,1,3,4,40,73165,3,1,4,1,1,5,1,1,1,2022-04-07T00:35:07Z,2022-04-07T00:41:45Z
1775447189,1.18849372718921,NA,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,2,__NA__,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,4,1,Peaceful,2,6,2,3,6,4,2,1,4,2,2,81,0,55,0,5,0,32,0,81,0,76,0,4,0,83,0,2,0,462,457,581,4,0,6,5,5,1949,1,1,6,1,5,13,2,2,NA,2,3,4,17,62901,5,1,4,1,1,2,1,1,1,2022-04-07T00:24:00Z,2022-04-07T00:42:34Z
1775447185,0.953811849901896,NA,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__NA__,1,__NA__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,"Open lands, greenery, clear skies, easy living.",3,5,2,2,6,5,3,1,4,2,2,46,0,80,0,71,0,71,0,79,0,79,0,41,0,2,0,91,0,751,749,0,50,0,3,4,4,1953,1,1,4,1,5,7,2,2,NA,2,3,3,35,87144,3,1,3,2,1,5,2,3,7,2022-04-07T00:23:58Z,2022-04-07T00:43:11Z
