caseid,applicant2_treat,APP_1_amt_1,APP_2_amt_1,STATE_amt_1,gender,applicant_2_char,applicant_2_name,applicant_2_rate,applicant_2_comp,applicant_2_high_comp,applicant_2_sex,female,applicant_1_rate,applicant_1_name,applicant_1_char
1775446973,3,750,750,0,2,James (Exc),James,Excellent,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1775447733,5,750,750,0,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1775447331,1,265,518,717,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1775447799,6,681,442,377,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1775448023,1,750,750,0,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1775447627,6,750,750,0,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1775447047,2,750,750,0,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1775448939,1,750,750,0,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1775447189,3,462,457,581,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1775447185,6,751,749,0,1,Sammie (Poor),Sammie,Poor,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1775448495,7,750,750,0,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1775447725,2,900,600,0,1,Misty (Poor),Misty,Poor,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1775447663,7,700,700,100,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1775448813,5,750,750,0,1,Sammie (Exc),Sammie,Excellent,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1775447127,4,750,750,0,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1775448199,4,701,208,591,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1775449167,3,750,750,0,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1775450125,4,871,475,154,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1775448601,3,401,399,700,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1775448825,2,550,350,600,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1775450439,7,750,750,0,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1775461691,2,749,751,0,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1775461657,4,700,700,100,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1775449447,1,748,752,0,1,Misty (Exc),Misty,Excellent,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1775461931,3,450,450,600,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1775456465,3,750,750,0,2,James (Exc),James,Excellent,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1775448433,3,750,750,0,2,James (Exc),James,Excellent,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1775461539,1,801,699,0,1,Misty (Exc),Misty,Excellent,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1775462453,5,750,750,0,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1775462077,2,560,555,385,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
