name,race,gen,pctwhite,pcthisp,pctblack,pctapi,pctna,pct2race,White,African American,Hispanic,Asian,distinctiveness
aaron,white,M,91.607,2.88,3.264,2.057,0.055,0.137,3.653039,2.921775,2.380309,2.204088,0.731264061
abdul,black,M,44.344,0.452,6.787,47.511,0.452,0.452,1.890452,3.296668,2.477814,2.367977,0.818854004
abel,white,M,12.844,82.569,2.141,2.446,0,0,2.996314,2.900778,2.788064,2.135469,0.09553659
abigail,white,F,81.579,12.201,1.435,4.785,0,0,3.795364,2.380178,2.340618,2.216879,1.4151859
abraham,white,M,47.7,30.751,7.748,12.349,1.453,0,3.393863,3.122172,2.301918,2.115833,0.271690504
ada,white,F,53.266,30.653,7.035,8.543,0.503,0,3.174108,2.93673,2.953497,2.586098,0.220611821
adam,white,M,96.148,1.989,0.635,1.016,0.085,0.127,3.920368,2.460794,2.510584,2.316211,1.409783566
adan,white,M,5.479,91.781,2.055,0.685,0,0,3.481234,2.720927,2.70623,2.552111,0.760306848
adolfo,hispanic,M,10.056,87.151,0.559,2.235,0,0,2.317603,2.481509,3.410041,2.133463,0.928532101
adrian,white,M,49.249,36.301,11.098,2.659,0.347,0.347,3.332784,2.895721,2.600831,2.361768,0.437063289
adriana,hispanic,F,35.992,62.372,0.818,0.613,0.204,0,3.255585,2.639184,3.356476,2.275613,0.100890761
adrienne,white,F,83.385,2.019,12.733,1.553,0.155,0.155,3.490539,3.09454,2.800225,2.325598,0.395999313
agnes,white,F,67.898,3.125,10.795,17.614,0.568,0,3.48809,2.416232,2.200238,2.370942,1.071858142
agustin,hispanic,M,5.858,89.958,0.418,3.766,0,0,2.914572,2.816429,3.063004,2.439191,0.148431646
ahmad,black,M,67.485,0.613,3.681,26.38,1.227,0.613,2.015619,3.392319,2.411222,2.308796,0.98109673
aileen,white,F,65.591,9.14,2.151,22.581,0,0.538,3.468922,2.586509,2.468617,2.602383,0.866539014
aimee,white,F,93.453,2.782,0.327,3.11,0.164,0.164,3.547747,2.788704,2.397645,2.456536,0.759042949
aisha,black,F,25,5.556,59.722,9.722,0,0,2.231131,3.735162,2.459164,2.394686,1.275998538
alan,white,M,92.471,1.502,1.064,4.797,0.104,0.063,3.875874,2.739271,2.299895,2.605309,1.136603213
albert,white,M,75.093,9.526,7.464,7.546,0.206,0.165,3.43459,2.826012,2.66223,2.205573,0.608578069
alberto,hispanic,M,11.128,81.306,0.445,6.825,0.297,0,2.589722,2.401377,4.011983,1.998436,1.422261341
alejandra,hispanic,F,8.743,87.978,0,3.279,0,0,2.468671,2.628386,3.990479,2.314276,1.362093647
alejandro,hispanic,M,6.943,90.134,0.122,2.801,0,0,2.094352,2.420867,4.224267,1.907397,1.803399701
alex,white,M,64.406,18.964,3.136,12.983,0.219,0.292,3.770266,2.537606,2.903584,2.585108,0.866681426
alexander,white,M,81.531,8.678,2.759,6.631,0.134,0.267,3.810704,2.440804,2.200086,2.14462,1.369899536
alexandra,white,F,85.516,10.714,1.19,1.984,0.198,0.397,3.466053,2.542948,3.095923,2.361374,0.370129991
alexis,white,F,77.655,14.159,5.088,2.876,0,0.221,3.568735,2.774173,3.098568,2.253577,0.470166408
alfonso,hispanic,M,13.071,78.216,3.942,4.564,0,0.207,2.441996,3.032587,3.536939,2.105355,0.504352498
alfred,white,M,75.829,10.186,9.054,4.689,0.081,0.162,3.612132,2.612091,2.592691,2.093238,1.000041279
alfreda,hispanic,F,22.857,2.857,71.429,2.857,0,0,2.332226,2.925873,3.32047,2.113839,0.394597301
alfredo,hispanic,M,10.771,80.64,0.728,7.86,0,0,2.35526,2.259117,3.782862,2.081874,1.427601505
ali,black,M,72.763,1.946,4.28,19.455,0.973,0.584,2.721304,3.248006,2.341498,2.610466,0.526702026
alice,white,F,80.135,4.888,6.292,8.164,0.208,0.312,3.905782,2.65831,2.285956,2.481762,1.247472139
alicia,white,F,66.667,24.375,5.934,2.734,0.116,0.175,3.287625,3.063635,2.852112,2.319908,0.223989672
alisha,black,F,84.977,3.286,10.329,0.469,0.469,0.469,2.948301,3.187322,2.775879,2.277233,0.239021608
allison,white,F,95.378,0.62,1.917,1.917,0,0.169,3.817033,2.346429,2.197905,2.339926,1.470604014
alma,white,F,31.588,56.137,7.201,5.074,0,0,3.255731,2.674167,3.198819,2.363311,0.056911476
alonzo,hispanic,M,34.568,18.519,44.444,2.469,0,0,2.440604,2.864893,3.803059,2.035213,0.938165717
alphonso,hispanic,M,14.286,7.143,76.786,1.786,0,0,2.112253,3.032099,3.392391,2.104449,0.360291264
alton,white,M,74.016,0.787,22.047,2.362,0.787,0,3.241023,2.779374,2.15845,2.121922,0.461648877
alvaro,hispanic,M,12.5,87.132,0,0.368,0,0,2.335663,2.547492,3.913142,2.23096,1.365650474
alvin,white,M,62.353,3.866,21.008,12.773,0,0,3.309334,2.823067,2.256365,2.37224,0.486267139
alyssa,white,F,91.9,4.673,0.312,2.804,0,0.312,3.497678,2.952969,2.833819,2.481213,0.544708257
amanda,white,F,94.312,3.14,1.206,0.933,0.205,0.205,3.751886,2.510124,2.686703,2.252648,1.065182928
amber,white,F,95.055,1.863,1.991,0.771,0.193,0.128,3.908197,2.813713,2.470975,2.368421,1.094483863
amelia,white,F,61.731,22.096,5.467,10.706,0,0,3.433834,2.626031,2.840391,2.492915,0.593443074
amit,hispanic,M,24.893,0,0.429,73.82,0.858,0,2.271925,2.727567,2.822333,2.386119,0.094766751
amy,white,F,95.56,0.992,0.358,2.844,0.143,0.102,4.027054,2.393561,2.511653,2.590964,1.43609005
ana,white,F,23.43,73.249,0.906,2.295,0,0.121,3.581683,2.43224,3.142079,2.703905,0.439603526
andre,black,M,56.928,5.509,33.723,3.339,0.167,0.334,3.012285,3.353797,2.697294,2.153442,0.341512783
andrea,white,F,89.751,4.27,4.911,0.807,0.214,0.047,3.457084,2.804311,2.711043,2.347024,0.65277332
andres,hispanic,M,12.656,83.817,0.415,2.905,0.207,0,2.692593,2.980349,3.442995,2.172341,0.462645684
andrew,white,M,93.212,1.882,1.69,3.07,0.11,0.037,3.771646,2.57886,2.481506,2.5794,1.192245901
andy,white,M,52.793,6.306,1.622,38.559,0.721,0,3.899984,2.124647,2.366216,2.372267,1.52771696
angel,hispanic,M,22.635,69.144,3.716,4.279,0.225,0,3.028016,3.118354,3.467566,2.595484,0.349212633
angela,white,F,85.619,4.851,7.167,1.975,0.187,0.202,3.53432,2.698069,3.186975,2.391061,0.34734452
angelia,white,F,74,4,20,1,0,1,3.314946,2.953751,3.24941,2.259818,0.065536759
angelica,white,F,24.724,71.302,0.442,3.311,0.221,0,3.34402,2.910622,3.088384,2.441292,0.255636325
angelina,hispanic,F,50.342,34.247,3.425,10.959,0.685,0.342,3.492061,2.775567,3.58644,2.436519,0.094378655
angelita,hispanic,F,16.279,39.535,4.651,38.372,0,1.163,2.736576,2.931279,3.757859,2.308721,0.826579499
angelo,hispanic,M,84.774,10.494,3.086,1.44,0.206,0,2.78628,2.40934,3.810598,2.000159,1.024318309
angie,white,F,77.573,10.29,2.639,9.499,0,0,3.727255,2.617804,2.72915,2.464445,0.998105438
anita,hispanic,F,76.835,6.64,7.738,8.288,0.399,0.1,3.036831,2.889928,3.04106,2.218371,0.00422888
ann,white,F,94.855,0.912,1.573,2.446,0.097,0.116,3.872117,2.755796,2.570234,2.647678,1.116321444
anna,white,F,84.762,7.439,2.211,5.378,0.09,0.12,3.838847,2.668365,2.81149,2.529844,1.027356156
annette,white,F,82.37,6.135,9.708,1.549,0.179,0.06,3.610458,2.990509,2.602175,2.201192,0.619948487
annie,white,F,44.954,3.517,30.887,20.031,0.153,0.459,3.827116,2.61435,2.366285,2.657678,1.169438376
anthony,white,M,84.161,5.099,7.199,3.154,0.174,0.213,3.37643,3.069345,3.043744,2.342865,0.307085021
antoine,black,M,53.846,2.885,40.385,2.885,0,0,2.857333,3.382658,3.032953,2.188091,0.349704329
antoinette,black,F,76.238,5.941,15.446,1.584,0.198,0.594,3.030963,3.06445,2.669129,2.088939,0.033486734
antonia,hispanic,F,42.491,47.253,5.495,3.663,0.733,0.366,2.4798,2.834796,3.656001,1.975669,0.821204657
antonio,hispanic,M,31.603,56.336,5.242,6.616,0,0.204,2.761509,2.714434,3.639018,2.183335,0.877509417
april,white,F,88.448,2.708,6.739,1.685,0.301,0.12,4.162994,2.624117,2.402793,2.297769,1.538876852
araceli,hispanic,F,8.901,84.817,0,5.759,0.524,0,2.22645,2.692215,3.039745,2.414134,0.34752955
archie,white,M,63.433,2.239,29.104,2.985,0,2.239,3.620354,2.071333,2.266859,2.067027,1.353495341
ariel,white,F,45.699,40.86,2.151,11.29,0,0,3.782842,2.456028,2.751332,2.761093,1.021748788
arlene,white,F,84.852,4.67,5.581,4.67,0.228,0,3.682587,2.438366,2.265838,2.073755,1.24422127
armando,hispanic,M,9.838,84.06,0.249,5.729,0.125,0,2.234517,2.44198,3.763193,2.157557,1.321213215
arnold,white,M,78.211,7.48,7.317,6.992,0,0,3.708834,2.420129,2.273938,2.120825,1.288705287
arnulfo,hispanic,M,2.041,89.796,0,8.163,0,0,2.109393,2.590023,3.793554,2.267568,1.203530421
arthur,white,M,83.115,6.168,7.099,3.377,0.103,0.138,3.553575,2.984091,2.389434,2.492003,0.569484671
arturo,hispanic,M,7.972,87.133,0,4.755,0,0.14,2.495344,2.682613,3.557928,2.118564,0.875315258
asha,black,F,19.512,0,8.537,71.951,0,0,2.47242,3.548099,2.827229,2.745026,0.720869816
ashley,white,F,93.699,1.629,3.601,0.986,0.086,0,3.916224,2.650275,2.235952,2.193008,1.265949167
audrey,white,F,84.722,1.786,10.714,2.381,0.298,0.099,3.893582,2.498203,2.32813,2.039504,1.395378617
aurora,black,F,25.98,50.98,2.451,20.588,0,0,2.821053,3.083939,2.70376,2.42648,0.262886247
austin,white,M,89.086,0.254,5.076,5.076,0,0.508,3.788115,2.35848,2.143129,2.190641,1.429635541
barbara,white,F,93.068,1.626,4.551,0.583,0.093,0.078,3.871284,2.855066,2.332099,2.32459,1.016217771
barry,white,M,95.149,0.596,2.903,1.034,0.119,0.199,3.465959,2.700908,2.409767,2.286123,0.765051396
beatrice,white,F,61.957,14.13,19.293,3.804,0.815,0,3.381154,2.959077,2.65396,2.281215,0.422077079
beatriz,hispanic,F,16.479,79.026,0.749,3.745,0,0,3.004713,2.844594,3.096272,2.125886,0.091559424
becky,white,F,93.498,2.081,0.78,3.511,0,0.13,4.125357,2.121948,2.369357,2.280283,1.756000173
belinda,white,F,70.295,10.148,14.207,4.613,0,0.738,3.522476,2.511504,2.800268,1.850674,0.722208645
ben,white,M,77.129,3.312,3.628,15.615,0,0.315,3.891868,2.639294,2.001323,2.286002,1.252573679
benito,hispanic,M,8.824,80.147,0.735,10.294,0,0,2.543435,2.317311,3.593454,2.251946,1.050019258
benjamin,white,M,85.184,6.876,2.906,4.679,0.165,0.189,3.66665,2.68149,2.396602,2.431497,0.985160074
bennie,white,M,61.486,4.73,32.432,0.676,0,0.676,3.456016,2.750447,2.759975,2.324928,0.696041256
benny,white,M,61.611,9.005,5.687,21.327,1.422,0.948,3.775368,2.756442,2.49252,2.258466,1.01892595
benson,white,M,40.426,0,6.383,53.191,0,0,3.22089,3.077362,2.195199,2.151238,0.143527819
bernadette,white,F,75,8.482,8.929,6.845,0.298,0.446,3.671287,2.67174,2.219438,1.988438,0.999547645
bernard,white,M,84.486,1.768,10.209,3.376,0,0.161,3.467746,3.049191,2.414813,2.287516,0.418554691
bernardo,hispanic,M,9.023,72.18,2.256,16.541,0,0,2.227042,2.49118,3.832116,2.078511,1.340936187
bernice,white,F,65.204,5.956,26.332,2.508,0,0,3.182364,2.880904,2.336468,1.876683,0.301460073
bertha,white,F,25.285,61.503,12.073,0.911,0.228,0,3.177989,2.77754,2.523933,1.966599,0.400449565
